0,1,2,3,4,5,6,7,8,9,10,11,12
2.2,1376,80,948,172,1092,122,1584,1203,11.0,60.0,0.7867,9.2
1.1,1144,29,667,98,1490,82,1339,730,10.2,59.6,0.7417,3.2
2.0,1333,64,900,174,1136,112,1517,1102,10.8,57.4,0.7408,8.0
2.2,1351,87,960,129,1079,101,1583,1028,10.5,60.6,0.7691,9.5
1.7,1233,77,827,112,1218,98,1446,860,10.8,58.4,0.7552,6.3
1.5,1179,43,762,95,1328,92,1362,671,10.5,57.9,0.7352,5.0
1.6,1236,61,774,104,1301,95,1401,664,9.5,66.8,0.7951,5.2
1.9,1286,63,869,146,1162,112,1537,799,8.3,76.4,0.8393,7.3
2.9,1371,164,1034,207,983,128,1730,1037,8.0,81.1,0.8736,11.5
2.2,1310,79,933,184,1082,126,1647,946,8.3,79.8,0.8778,8.8
2.2,1292,95,912,193,1103,131,1591,957,9.7,71.2,0.8569,8.3
2.9,1383,150,1020,243,1008,135,1719,1104,9.8,67.6,0.8185,11.2
4.8,1581,307,1319,281,799,151,2083,1409,10.3,64.2,0.8065,20.8
6.9,1776,461,1488,383,702,172,2333,1704,9.7,69.3,0.8319,27.4
6.1,1640,401,1404,351,743,165,2191,1654,9.6,67.8,0.8133,24.0
3.9,1313,197,1076,240,957,136,1707,1285,9.1,64.0,0.7419,12.8
1.5,965,61,749,94,1325,85,1333,821,8.2,63.4,0.6905,4.7
1.0,913,26,629,47,1565,53,1252,552,8.2,60.8,0.6657,2.6
1.7,1080,55,805,122,1254,97,1375,816,8.3,58.5,0.6438,5.9
1.9,1044,53,829,133,1247,110,1378,832,7.7,59.7,0.6308,6.4
1.4,988,40,718,82,1396,91,1304,692,7.1,61.8,0.6276,4.1
0.6,847,7,501,30,1895,44,1155,394,6.3,65.0,0.6233,1.0
0.8,927,17,571,56,1685,71,1223,487,6.8,62.9,0.6234,1.8
1.4,1091,33,730,109,1387,104,1361,748,6.4,65.1,0.6316,4.4
4.4,1587,202,1236,307,897,141,1900,1400,7.3,63.1,0.6499,17.9
3.1,1350,208,1118,187,912,122,1712,1237,13.2,41.7,0.632,14.0
2.7,1263,166,1037,216,969,143,1598,1167,14.3,38.4,0.6243,11.6
2.1,1206,114,986,143,1035,113,1537,959,15.0,36.5,0.6195,10.2
2.5,1252,140,1016,160,1008,116,1593,983,16.1,34.5,0.6262,11.0
2.7,1287,169,1078,163,949,123,1660,1061,16.3,35.7,0.656,12.8
2.9,1353,185,1122,190,922,126,1740,1139,15.8,37.0,0.661,14.2
2.8,1309,165,1073,178,954,120,1657,1112,15.9,37.2,0.6657,12.7
2.4,1274,133,1041,150,1006,119,1610,994,16.9,34.3,0.6549,11.7
3.9,1510,233,1277,206,812,149,1910,1410,15.1,39.6,0.6766,19.3
3.7,1525,242,1246,202,821,145,1847,1448,14.4,43.4,0.7084,18.2
6.6,1843,488,1610,340,624,170,2390,1887,12.9,50.5,0.7478,32.6
4.4,1598,333,1299,274,752,149,1941,1627,12.1,53.3,0.7536,20.1
3.5,1484,215,1127,253,839,139,1723,1491,11.0,59.1,0.774,14.3
5.4,1677,367,1346,300,741,134,2062,1657,9.7,64.6,0.7771,21.8
2.7,1280,122,964,193,963,113,1544,1285,9.5,64.1,0.7597,9.6
1.9,1196,67,873,139,1071,97,1463,1144,9.1,63.9,0.7423,7.4
1.6,1184,43,782,83,1176,82,1365,1043,8.8,63.9,0.7256,5.4
1.0,978,30,625,62,1420,65,1274,819,8.3,63.6,0.6982,2.6
1.2,1100,27,646,53,1406,60,1268,835,7.2,67.5,0.6887,2.9
1.5,1112,47,770,139,1228,77,1409,940,6.3,71.9,0.6932,5.1
2.7,1336,132,1043,256,935,96,1678,1192,6.5,71.6,0.6945,11.8
3.7,1408,239,1153,295,830,119,1777,1411,9.6,59.7,0.7124,15.1
3.2,1447,160,1081,250,869,126,1667,1465,12.4,51.2,0.7335,12.9
4.1,1542,283,1184,296,808,158,1780,1583,15.6,42.2,0.7451,16.1
3.6,1451,210,1117,239,875,161,1679,1387,18.4,33.8,0.709,14.0
2.8,1328,154,1059,153,987,124,1600,1101,19.4,31.3,0.695,12.3
2.0,1207,112,924,118,1088,102,1488,850,18.0,34.8,0.7127,8.6
2.0,1240,108,947,119,1049,116,1532,947,18.4,33.6,0.7042,9.2
2.5,1306,111,987,138,1004,124,1554,1078,17.6,35.1,0.7012,10.2
2.3,1326,97,1000,148,976,125,1602,1084,16.7,37.8,0.7117,10.6
3.2,1473,191,1163,227,831,148,1779,1395,16.1,41.0,0.7451,15.5
4.2,1609,258,1286,277,758,165,1922,1612,15.8,42.4,0.7569,19.6
4.2,1611,284,1274,279,754,161,1915,1697,15.7,44.1,0.7786,19.2
4.2,1621,269,1247,283,762,159,1860,1886,15.3,46.8,0.8091,18.3
3.1,1444,180,1089,214,844,143,1748,1624,14.6,48.6,0.806,13.1
2.6,1418,116,1010,172,892,130,1603,1536,14.7,49.3,0.8193,10.9
2.9,1534,93,1013,190,889,129,1611,1535,13.9,53.6,0.8498,11.0
2.8,1484,131,1045,174,880,119,1624,1530,14.6,51.5,0.8536,11.9
2.5,1367,92,925,128,953,104,1543,1337,12.5,58.9,0.8537,8.6
1.2,1062,32,691,53,1272,70,1377,929,11.5,63.1,0.8533,3.7
1.0,1076,29,618,44,1395,63,1333,872,11.6,62.2,0.8473,2.5
0.9,1028,27,615,74,1384,67,1340,853,10.4,67.6,0.853,2.4
1.4,1155,36,722,101,1225,84,1414,959,11.6,62.7,0.853,4.2
1.6,1235,57,828,118,1055,83,1527,1093,12.4,60.0,0.8627,6.4
2.2,1332,129,923,144,952,98,1614,1225,14.5,53.1,0.8728,8.6
2.8,1445,148,1009,176,878,114,1696,1355,16.9,46.1,0.8789,10.9
2.8,1416,145,1002,161,907,119,1677,1262,19.3,38.3,0.8474,10.7
2.0,1281,93,880,113,1084,104,1525,980,21.2,31.4,0.7812,7.5
1.8,1207,84,879,103,1104,102,1490,872,21.4,30.2,0.7616,7.5
1.9,1258,99,906,112,1081,107,1511,900,21.9,29.0,0.7525,8.2
3.0,1458,150,1045,170,974,129,1646,1099,22.2,28.4,0.7516,11.9
2.9,1438,156,1051,180,943,128,1668,1206,21.3,30.8,0.7696,12.0
2.5,1478,122,1055,160,929,121,1671,1262,19.7,36.7,0.8307,12.2
4.6,1808,262,1312,261,753,157,1993,1698,18.4,41.7,0.8732,20.6
5.9,1898,341,1381,325,681,173,2103,1905,17.6,46.1,0.921,23.1
3.4,1560,214,1140,217,784,146,1818,1648,16.7,49.6,0.932,14.7
2.1,1324,100,940,146,924,121,1587,1423,16.3,51.0,0.9341,9.0
2.2,1349,79,933,152,933,119,1617,1349,14.7,55.9,0.9314,8.8
1.8,1239,66,872,104,985,99,1547,1250,14.8,54.7,0.9164,7.4
1.8,1239,73,853,106,1010,93,1543,1174,14.0,57.0,0.9094,6.9
1.8,1224,66,855,108,998,88,1566,1149,13.4,61.3,0.9361,7.0
1.0,1075,39,703,88,1156,74,1464,1010,11.9,67.4,0.9375,3.9
1.4,1157,51,830,138,1030,80,1584,1083,11.4,70.5,0.9475,6.4
2.2,1314,107,966,228,897,89,1710,1235,11.3,70.2,0.9401,9.7
5.5,1797,336,1451,360,652,114,2323,1680,12.4,63.9,0.917,25.9
8.1,1961,618,1701,478,537,149,2665,2184,14.8,54.3,0.9076,36.7
5.8,1771,438,1470,394,622,157,2262,1973,17.4,45.6,0.8993,26.6
4.2,1564,334,1300,319,710,155,2029,1798,19.8,38.5,0.8801,20.1
3.1,1430,221,1120,201,831,134,1783,1522,22.0,34.1,0.8904,14.1
2.9,1417,207,1146,171,830,119,1831,1404,23.3,32.2,0.9096,14.9
2.9,1400,191,1162,159,838,111,1829,1263,23.9,30.0,0.8757,15.4
2.5,1317,185,1053,153,926,104,1707,1137,24.4,28.9,0.8736,12.1
2.3,1318,141,1033,143,950,99,1675,1068,24.4,29.4,0.8848,11.5
2.8,1445,214,1141,156,857,110,1824,1252,23.8,31.3,0.9137,14.8
6.1,1917,471,1601,314,631,162,2447,1843,22.5,35.4,0.9547,32.1
8.0,2040,685,1754,404,542,187,2679,2122,20.4,42.5,1.0086,39.2
6.5,1895,538,1573,320,565,165,2443,1992,18.3,52.6,1.0945,31.0
4.2,1595,319,1294,256,678,145,2058,1707,16.7,57.4,1.0786,19.9
3.2,1439,224,1159,193,764,125,1856,1494,15.7,60.2,1.0654,15.3
1.4,1142,67,852,89,1008,101,1547,1164,15.3,61.4,1.058,6.9
2.1,1304,155,1019,127,852,103,1731,1272,14.1,65.7,1.0494,11.1
1.2,1074,49,784,79,1098,88,1483,1040,14.8,60.6,1.0148,5.4
0.8,968,29,640,43,1320,61,1386,867,14.8,59.2,0.9879,2.8
0.6,937,17,585,38,1412,52,1348,793,12.8,63.2,0.9283,2.0
0.9,1017,27,681,82,1246,64,1418,870,11.2,68.5,0.9081,3.5
1.3,1171,50,770,99,1162,70,1467,930,11.0,66.5,0.8705,5.1
3.4,1541,218,1185,263,770,97,1889,1407,11.7,63.7,0.8719,16.2
3.7,1539,285,1287,229,698,95,2055,1507,13.6,56.3,0.8743,19.7
5.3,1735,437,1431,396,628,150,2211,1843,17.8,42.9,0.8672,25.1
4.1,1571,327,1297,314,730,162,1973,1729,21.4,33.3,0.8417,20.0
3.3,1452,283,1250,217,776,154,1868,1583,24.4,27.4,0.8231,18.3
4.0,1579,366,1359,252,724,161,1998,1671,25.3,26.1,0.8264,22.3
3.8,1466,318,1309,263,773,161,1897,1491,25.8,23.2,0.7589,20.4
2.8,1280,228,1136,180,893,128,1675,1240,27.0,20.2,0.7094,14.6
2.9,1407,201,1197,184,905,129,1759,1313,28.2,18.6,0.7014,16.6
2.9,1389,199,1173,190,898,133,1739,1363,28.0,19.1,0.7098,15.8
3.4,1447,237,1235,184,859,139,1778,1296,23.9,25.7,0.7519,17.8
3.9,1551,261,1271,181,800,137,1875,1432,21.3,34.8,0.873,19.1
3.2,1474,230,1173,166,854,143,1776,1432,20.4,36.7,0.8704,15.8
5.1,1800,349,1426,317,700,177,2106,2034,19.0,41.3,0.9007,24.9
2.6,1379,183,1101,184,818,138,1710,1602,17.9,45.9,0.9342,13.5
1.7,1201,88,943,130,935,117,1560,1362,16.7,48.9,0.9226,9.1
1.7,1205,85,925,132,922,107,1547,1314,15.5,52.9,0.9271,8.6
1.2,1072,47,784,95,1066,90,1442,1114,15.5,51.9,0.9059,5.4
0.9,998,34,714,70,1169,79,1383,992,14.1,55.6,0.891,4.1
0.5,869,11,554,28,1460,40,1268,667,11.8,58.0,0.8026,1.6
